,Name,Product Collection,Vertical Segment,Processor Number,Lithography,Recommended Customer Price,Total Cores,Total Threads,Max Turbo Frequency,Processor Base Frequency,Cache,Intel® UPI Speed,Max # of UPI Links,TDP,Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Marketing Status,Launch Date,Servicing Status,Use Conditions,Embedded Options Available,Extended Temperature Options,Max Memory Size (dependent on memory type),Memory Types,Max # of Memory Channels,ECC Memory Supported   ‡,Maximum Memory Speed,Intel® Optane™ DC Persistent Memory Supported,Scalability,PCI Express Revision,Max # of PCI Express Lanes,Sockets Supported,Package Carrier,DTS Max,TCASE,Package Size,Intel® On Demand Available Upgrades,Intel® Virtual RAID on CPU (Intel® VROC) Activation Options,Intel® On Demand Activation Model,Intel® Data Streaming Accelerator (DSA),Intel® Advanced Matrix Extensions (AMX),Intel® Speed Select Technology – Core Power,Intel® Speed Select Technology – Turbo Frequency,Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Intel® Speed Select Technology - Base Frequency,High Priority Cores,High Priority Core Frequency,Low Priority Cores,Low Priority Core Frequency,Intel® Resource Director Technology (Intel® RDT),Intel® Speed Shift Technology,Intel® Turbo Boost Technology ‡,Intel® Hyper-Threading Technology ‡,Intel® Transactional Synchronization Extensions,Intel® 64 ‡,Instruction Set Extensions,# of AVX-512 FMA Units,Intel® QuickAssist Technology (QAT),Intel® Dynamic Load Balancer (DLB),Intel® Speed Select Technology - Performance Profile,Intel® In-memory Analytics Accelerator (IAA),Intel® vRAN Boost,Intel® Volume Management Device (VMD),Intel® Virtual RAID on CPU (Intel® VROC) Available,Intel® Software Guard Extensions (Intel® SGX),Default Maximum Enclave Page Cache (EPC) Size for Intel® SGX,Intel® Crypto Acceleration,Intel® QuickAssist Software Acceleration,Intel® Platform Firmware Resilience Support,Intel® Control-Flow Enforcement Technology,Intel® Total Memory Encryption,Intel® AES New Instructions,Intel® OS Guard,Intel® Trusted Execution Technology ‡,Execute Disable Bit ‡,Intel® Boot Guard,Intel® Run Sure Technology,Mode-based Execute Control (MBEC),Intel® Virtualization Technology (VT-x) ‡,Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Intel® VT-x with Extended Page Tables (EPT) ‡,Intel® Trust Domain Extensions (Intel® TDX),Intel® Total Memory Encryption - Multi Key,Intel® Speed Select Technology
25,Intel® Xeon® Gold 6426Y Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,6426Y,Intel 7,$1517.00,16,32,4.10 GHz,2.50 GHz,37.5 MB,16 GT/s,3,185 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,Yes,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,2S,5,80,FCLGA4677,E1B,95 °C,80,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,4,2.70 GHz,12,,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,Yes,,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
26,Intel® Xeon® Silver 4416+ Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,4416+,Intel 7,$1176.00-$1186.00,20,40,3.90 GHz,2.00 GHz,37.5 MB,16 GT/s,2,165 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,Yes,,4 TB,Up to DDR5 4000 MT/s 1DPC and 2DPC,8,Yes,,,2S,5,80,FCLGA4677,E1B,94 °C,82,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,,,Yes,,,,,,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,1 default devices,1 default devices,,1 default devices,,,,Yes with Intel® SPS,64 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,
27,Intel® Xeon® Gold 5418Y Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,5418Y,Intel 7,$1483.00-$1493.00,24,48,3.80 GHz,2.00 GHz,45 MB,16 GT/s,3,185 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,Yes,,4 TB,Up to DDR5 4400 MT/s 1DPC and 2DPC,8,Yes,,,2S,5,80,FCLGA4677,E1B,94 °C,81,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,8,2.20 GHz,16,,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,Yes,,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
28,Intel® Xeon® Gold 6442Y Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,6442Y,Intel 7,$2878.00,24,48,4.00 GHz,2.60 GHz,60 MB,16 GT/s,3,225 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,No,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,2S,5,80,FCLGA4677,E1B,95 °C,79,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,8,2.80 GHz,16,,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,Yes,,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
29,Intel® Xeon® Gold 5420+ Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,5420+,Intel 7,$1848.00,28,56,4.10 GHz,2.00 GHz,52.5 MB,16 GT/s,3,205 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,Yes,,4 TB,Up to DDR5 4400 MT/s 1DPC and 2DPC,8,Yes,,,2S,5,80,FCLGA4677,E1B,97 °C,84,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,8,2.20 GHz,20,,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,1 default devices,1 default devices,,1 default devices,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
30,Intel® Xeon® Gold 6438Y+ Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,6438Y+,Intel 7,$3141.00,32,64,4.00 GHz,2.00 GHz,60 MB,16 GT/s,3,205 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,No,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,2S,5,80,FCLGA4677,E1B,87 °C,76,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,12,2.10 GHz,20,,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,1 default devices,1 default devices,Yes,1 default devices,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
31,Intel® Xeon® Platinum 8462Y+ Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,8462Y+,Intel 7,$5945.00,32,64,4.10 GHz,2.80 GHz,60 MB,16 GT/s,3,300 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,Yes,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,2S,5,80,FCLGA4677,E1B,99 °C,81,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,12,3.00 GHz,20,2.60 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,1 default devices,1 default devices,Yes,1 default devices,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
32,Intel® Xeon® Gold 6448Y Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,6448Y,Intel 7,$3583.00,32,64,4.10 GHz,2.10 GHz,60 MB,16 GT/s,3,225 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,Yes,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,2S,5,80,FCLGA4677,E1B,92 °C,79,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,12,2.40 GHz,20,2.00 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,Yes,,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
33,Intel® Xeon® Gold 6444Y Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,6444Y,Intel 7,$3622.00,16,32,4.00 GHz,3.60 GHz,45 MB,16 GT/s,3,270 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,No,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,2S,5,80,FCLGA4677,E1B,100 °C,75,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,4,3.70 GHz,12,3.20 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,Yes,,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
34,Intel® Xeon® Gold 6458Q Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,6458Q,Intel 7,$6416.00,32,64,4.00 GHz,3.10 GHz,60 MB,16 GT/s,3,350 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,No,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,2S,5,80,FCLGA4677,E1B,87 °C,66,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,8,3.30 GHz,24,2.80 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,Yes,,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
35,Intel® Xeon® Gold 6434H Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,6434H,Intel 7,$3070.00,8,16,4.10 GHz,3.70 GHz,22.5 MB,16 GT/s,3,195 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,No,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,S8S,5,80,FCLGA4677,E1B,96 °C,64,77.5mm x 56.5mm,,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,2,3.90 GHz,6,3.40 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,,1 default devices,,,,Yes with Intel® SPS,512 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
36,Intel® Xeon® Silver 4410T Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,4410T,Intel 7,$624.00,10,20,4.00 GHz,2.70 GHz,26.25 MB,16 GT/s,2,150 W,,Launched,Q1'23,Baseline Servicing,Industrial Commercial Temp |  Server/Enterprise,Yes,,4 TB,Up to DDR5 4000 MT/s 1DPC and 2DPC,8,Yes,,,2S,5,80,FCLGA4677,E1B,100 °C,84°C,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,,Yes,,,,,,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,Yes,,,,,Yes with Intel® SPS,64 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,See the specifications
37,Intel® Xeon® Gold 6416H Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,6416H,Intel 7,$1444.00,18,36,4.20 GHz,2.20 GHz,45 MB,16 GT/s,3,165 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,No,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,S4S,5,80,FCLGA4677,E1B,95 °C,82,77.5mm x 56.5mm,,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,6,2.40 GHz,12,2.00 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,Yes,1 default devices,,,,Yes with Intel® SPS,512 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
38,Intel® Xeon® Gold 6418H Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,6418H,Intel 7,$2065.00,24,48,4.00 GHz,2.10 GHz,60 MB,16 GT/s,3,185 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,Yes,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,S4S,5,80,FCLGA4677,E1B,94 °C,81,77.5mm x 56.5mm,,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,8,2.30 GHz,16,1.90 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,Yes,1 default devices,,,,Yes with Intel® SPS,512 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
39,Intel® Xeon® Gold 6448H Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,6448H,Intel 7,$3658.00,32,64,4.10 GHz,2.40 GHz,60 MB,16 GT/s,3,250 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,No,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,S4S,5,80,FCLGA4677,E1B,98 °C,83,77.5mm x 56.5mm,,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,12,2.60 GHz,,,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,2 default devices,2 default devices,Yes,1 default devices,,,,Yes with Intel® SPS,512 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
40,Intel® Xeon® Gold 5418N Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,5418N,Intel 7,$1664.00,24,48,3.80 GHz,1.80 GHz,45 MB,16 GT/s,3,165 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,Yes,,4 TB,Up to DDR5 4000 MT/s 1DPC and 2DPC,8,Yes,,,2S,5,80,FCLGA4677,E1B,95 °C,84,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,8,2.00 GHz,16,1.60 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,2 default devices,2 default devices,Yes,,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
41,Intel® Xeon® Gold 5411N Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,5411N,Intel 7,$1388.00,24,48,3.90 GHz,1.90 GHz,45 MB,,,165 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,Yes,,4 TB,Up to DDR5 4400 MT/s 1DPC and 2DPC,8,Yes,,,1S Only,5,80,FCLGA4677,E1B,95 °C,84,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,,Yes,Yes,Yes,Yes,8,2.10 GHz,16,1.70 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,2 default devices,2 default devices,Yes,,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
42,Intel® Xeon® Gold 6428N Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,6428N,Intel 7,$3200.00,32,64,3.80 GHz,1.80 GHz,60 MB,16 GT/s,3,185 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,Yes,,4 TB,Up to DDR5 4000 MT/s 1DPC and 2DPC,8,Yes,,,2S,5,80,FCLGA4677,E1B,95 °C,85,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,12,1.90 GHz,20,1.50 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,2 default devices,2 default devices,Yes,,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
43,Intel® Xeon® Gold 6421N Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,6421N,Intel 7,$2368.00,32,64,3.60 GHz,1.80 GHz,60 MB,,,185 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,Yes,,4 TB,Up to DDR5 4400 MT/s 1DPC and 2DPC,8,Yes,,,1S Only,5,80,FCLGA4677,E1B,95 °C,85,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,,Yes,Yes,Yes,,,,,,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,Yes,,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
44,Intel® Xeon® Gold 5416S Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,5416S,Intel 7,$944.00,16,32,4.00 GHz,2.00 GHz,30 MB,16 GT/s,3,150 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,No,,4 TB,Up to DDR5 4400 MT/s 1DPC and 2DPC,8,Yes,,,2S,5,80,FCLGA4677,E1B,90 °C,79,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,4,2.10 GHz,12,1.70 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,2 default devices,2 default devices,Yes,,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
45,Intel® Xeon® Gold 6438N Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,6438N,Intel 7,$3351.00,32,64,3.60 GHz,2.00 GHz,60 MB,16 GT/s,3,205 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,Yes,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,2S,5,80,FCLGA4677,E1B,96 °C,85,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,12,2.20 GHz,20,1.80 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,2 default devices,2 default devices,Yes,,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
46,Intel® Xeon® Gold 6438M Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,6438M,Intel 7,$3273.00,32,64,3.90 GHz,2.20 GHz,60 MB,16 GT/s,3,205 W,,Launched,Q1'23,Baseline Servicing,Server/Enterprise,No,,4 TB,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,8,Yes,,,2S,5,80,FCLGA4677,E1B,97 °C,85,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,Yes,Yes,12,2.30 GHz,20,1.80 GHz,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,,,Yes,1 default devices,,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,See the specifications
47,Intel® Xeon® Gold 5433N Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,5433N,Intel 7,$1701.00,20,40,4.10 GHz,2.30 GHz,37.5 MB,,,160 W,Yes,Launched,Q1'23,Baseline Servicing,,Yes,,4 TB,DDR5-4000,8,Yes,4000 MHz,No,1S Only,4,48,FCLGA4677,E1B,99 °C,83,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,Yes,Yes,Yes,,No,,,,,Yes,Yes,2.0,Yes,Yes,Yes,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,0 default devices,0 default devices,Yes,0 default devices,Yes,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
48,Intel® Xeon® Gold 5423N Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,5423N,Intel 7,$1508.00,20,40,4.00 GHz,2.10 GHz,37.5 MB,,,145 W,Yes,Launched,Q1'23,Baseline Servicing,,Yes,,4 TB,DDR5-4000,8,Yes,4000 MHz,No,1S Only,4,48,FCLGA4677,E1B,97 °C,83,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,No,Yes,Yes,,No,,,,,Yes,Yes,2.0,Yes,Yes,Yes,Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,0 default devices,0 default devices,Yes,0 default devices,Yes,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
49,Intel® Xeon® Gold 6433N Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,6433N,Intel 7,$2771.00,32,64,3.60 GHz,2.00 GHz,60 MB,,,205 W,Yes,Launched,Q3'23,Baseline Servicing,,Yes,,4 TB,DDR5-4400,8,Yes,4400 MHz,No,1S Only,4,64,FCLGA4677,E1B,96 °C,85,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,No,Yes,Yes,,No,,,,,Yes,Yes,2.0,Yes,Yes,Yes,Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,0 default devices,0 default devices,Yes,0 default devices,Yes,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
50,Intel® Xeon® Gold 6433NE Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,6433NE,Intel 7,$3048.00,32,64,3.60 GHz,2.00 GHz,60 MB,,,205 W,Yes,Launched,Q3'23,Baseline Servicing,,Yes,Yes,4 TB,DDR5-4400,8,Yes,4400 MHz,No,1S Only,4,64,FCLGA4677,E1B,96 °C,85,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,No,Yes,Yes,,No,,,,,Yes,Yes,2.0,Yes,Yes,Yes,Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,0 default devices,0 default devices,Yes,0 default devices,Yes,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
51,Intel® Xeon® Gold 6423N Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,6423N,Intel 7,$2161.00,28,56,3.60 GHz,2.00 GHz,52.5 MB,,,195 W,Yes,Launched,Q3'23,Baseline Servicing,,Yes,,4 TB,DDR5-4400,8,Yes,4400 MHz,No,1S Only,4,64,FCLGA4677,E1B,96 °C,85,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,No,Yes,Yes,,No,,,,,Yes,Yes,2.0,Yes,Yes,Yes,Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,0 default devices,0 default devices,Yes,0 default devices,Yes,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
52,Intel® Xeon® Gold 6403N Processor ,4th Gen Intel® Xeon® Scalable Processors,Server,6403N,Intel 7,$1796.00,24,48,3.60 GHz,1.90 GHz,45 MB,,,185 W,Yes,Launched,Q3'23,Baseline Servicing,,Yes,,4 TB,DDR5-4000,8,Yes,4000 MHz,No,1S Only,4,64,FCLGA4677,E1B,97 °C,85,77.5mm x 56.5mm,See the specifications,,Yes,1 default devices,No,Yes,Yes,,No,,,,,Yes,Yes,2.0,Yes,Yes,Yes,Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512,2,0 default devices,0 default devices,Yes,0 default devices,Yes,,,Yes with Intel® SPS,128 GB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
